unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,price_change_1h,volume_change_1h,garman_klass_12h
1526364000,2018-05-15 06:00:00,BTC/USD,8733.86,8796.68,8707.28,8740.99,4906603.14,559.93,,,
1526367600,2018-05-15 07:00:00,BTC/USD,8740.99,8766.0,8721.11,8739.0,2390398.89,273.58,-0.022766299927123868,-51.14032111156752,
1526371200,2018-05-15 08:00:00,BTC/USD,8739.0,8750.27,8660.53,8728.49,7986062.84,917.79,-0.12026547659915732,235.474084362892,
1526374800,2018-05-15 09:00:00,BTC/USD,8728.49,8754.4,8701.35,8708.32,1593991.98,182.62,-0.23108235215942852,-80.10220202878654,0.005789084087237096
1526378400,2018-05-15 10:00:00,BTC/USD,8708.32,8865.0,8695.11,8795.9,11101273.74,1260.69,1.0057048891175313,590.3351221114883,0.007593925182637125
1526382000,2018-05-15 11:00:00,BTC/USD,8795.9,8821.19,8740.54,8760.0,2842987.3,324.11,-0.4081447037824426,-74.29106283067209,0.007956608347822098
1526385600,2018-05-15 12:00:00,BTC/USD,8760.0,8798.6,8741.52,8760.0,2842401.44,324.2,0.0,0.02776835025144475,0.007447086135839245
1526389200,2018-05-15 13:00:00,BTC/USD,8760.0,8771.02,8700.0,8759.23,6380081.87,730.67,-0.008789954337906636,125.37631091918567,0.007721358364578691
1526392800,2018-05-15 14:00:00,BTC/USD,8759.23,8761.7,8467.42,8517.77,11484106.74,1341.75,-2.7566350010217677,83.63283014219827,0.009639631494484277
1526396400,2018-05-15 15:00:00,BTC/USD,8517.77,8553.67,8477.89,8520.3,6747071.92,792.07,0.029702609955406523,-40.96739332960685,0.009689317559003726
1526400000,2018-05-15 16:00:00,BTC/USD,8520.3,8589.1,8500.78,8535.23,3298228.22,385.69,0.17522857176390794,-51.30607143308041,0.010081961196106617
1526403600,2018-05-15 17:00:00,BTC/USD,8535.23,8579.48,8500.0,8546.34,4058869.11,475.08,0.13016638098797273,23.176644455391624,0.010200434339158116
1526407200,2018-05-15 18:00:00,BTC/USD,8546.34,8555.51,8400.0,8526.65,7443239.63,877.26,-0.230391021185683,84.65521596362717,0.008669539334272034
1526410800,2018-05-15 19:00:00,BTC/USD,8526.65,8583.6,8451.05,8555.6,5703980.92,670.49,0.3395237285452213,-23.56997925358503,0.00971782025315518
1526414400,2018-05-15 20:00:00,BTC/USD,8555.6,8569.92,8461.38,8512.1,5192991.59,610.97,-0.5084389172004267,-8.877089889483802,0.009958739958251039
1526418000,2018-05-15 21:00:00,BTC/USD,8512.1,8555.54,8481.24,8492.28,1440288.06,168.99,-0.23284500886971982,-72.3407041262255,0.009874066480177756
1526421600,2018-05-15 22:00:00,BTC/USD,8492.28,8557.51,8420.37,8460.0,2591379.77,305.92,-0.38010993514110414,81.0284632226759,0.009336668317773378
1526425200,2018-05-15 23:00:00,BTC/USD,8460.0,8505.0,8450.0,8474.99,1152835.45,136.05,0.17718676122930876,-55.52758891213389,0.007935167465781462
1526428800,2018-05-16 00:00:00,BTC/USD,8474.99,8505.33,8430.94,8455.92,1306049.94,154.26,-0.2250150147669716,13.384785005512656,0.007370525020240038
1526432400,2018-05-16 01:00:00,BTC/USD,8455.92,8478.29,8275.02,8326.28,8931481.69,1070.93,-1.5331270872950498,594.2370024633736,0.009792890281787574
1526436000,2018-05-16 02:00:00,BTC/USD,8326.28,8339.81,8100.01,8133.43,13978603.77,1710.2,-2.3161603981610046,59.69297713202544,0.010864673028937358
1526439600,2018-05-16 03:00:00,BTC/USD,8133.43,8217.44,8122.56,8164.79,4028910.03,492.8,0.38556918790719763,-71.18465676529061,0.011336265434254473
1526443200,2018-05-16 04:00:00,BTC/USD,8164.79,8252.72,8157.01,8229.38,5179471.34,630.72,0.7910797460804142,27.98701298701298,0.01141787295780247
1526446800,2018-05-16 05:00:00,BTC/USD,8229.38,8248.63,8166.25,8220.4,5090356.15,620.93,-0.10912122176882644,-1.5521943176052933,0.009606507089965256
1526450400,2018-05-16 06:00:00,BTC/USD,8220.4,8267.12,8176.91,8238.8,4822260.46,586.34,0.2238333901026568,-5.570676243698958,0.00731335853661803
1526454000,2018-05-16 07:00:00,BTC/USD,8238.8,8255.0,8213.79,8232.99,2507070.05,304.52,-0.07051997863766202,-48.064263055565036,0.006413999219225878
1526457600,2018-05-16 08:00:00,BTC/USD,8232.99,8261.24,8200.0,8207.48,3710007.82,450.97,-0.3098509775913749,48.092079337974525,0.006009676439367923
1526461200,2018-05-16 09:00:00,BTC/USD,8207.48,8263.93,8207.48,8243.45,1501103.9,182.36,0.4382587590831877,-59.562720358338694,0.005259637495719847
1526464800,2018-05-16 10:00:00,BTC/USD,8243.45,8455.66,8237.1,8371.13,7667494.3,915.32,1.5488660694247924,401.93024786137306,0.008718325420889125
1526468400,2018-05-16 11:00:00,BTC/USD,8371.13,8439.44,8370.0,8373.0,2680259.87,319.29,0.02233868067991196,-65.11711751081589,0.009025208039774578
1526472000,2018-05-16 12:00:00,BTC/USD,8373.0,8399.1,8356.4,8365.08,3031532.02,362.01,-0.09458975277678583,13.379686178708994,0.008867072312701766
1526475600,2018-05-16 13:00:00,BTC/USD,8365.08,8381.73,8145.1,8179.99,8614269.8,1046.38,-2.2126506859468154,189.04726388773793,0.01134751457648394
1526479200,2018-05-16 14:00:00,BTC/USD,8179.99,8229.91,8173.6,8225.0,2936522.28,357.91,0.5502451714488599,-65.79540893365699,0.008296978645065211
1526482800,2018-05-16 15:00:00,BTC/USD,8225.0,8377.29,8211.8,8285.8,4663319.71,561.2,0.739209726443768,56.799195328434514,0.010238922766420877
1526486400,2018-05-16 16:00:00,BTC/USD,8285.8,8329.1,8201.0,8273.4,2665411.47,322.53,-0.14965362427284967,-42.52851033499645,0.011466767618153467
1526490000,2018-05-16 17:00:00,BTC/USD,8273.4,8350.0,8250.9,8297.4,8926209.14,1073.71,0.2900863006744414,232.90236567141048,0.009712240886450984
1526493600,2018-05-16 18:00:00,BTC/USD,8297.4,8346.95,8266.46,8279.89,1973143.22,237.21,-0.21102996119266582,-77.90744241927523,0.010131588959221184
1526497200,2018-05-16 19:00:00,BTC/USD,8279.89,8377.29,8252.72,8252.72,2086318.5,251.2,-0.328144456025381,5.897727751781123,0.00922704398466506
1526500800,2018-05-16 20:00:00,BTC/USD,8252.72,8311.35,8232.14,8302.18,2971208.9,359.73,0.5993175583322907,43.20461783439491,0.007958699081953234
1526504400,2018-05-16 21:00:00,BTC/USD,8302.18,8319.96,8268.37,8295.85,972462.5,117.23,-0.07624503443673936,-67.41166986350875,0.007149331266004313
