unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,price_change_1h,volume_change_1h,garman_klass_12h,price_range_pct,oc_change_pct,hour,day_of_week,parkinson_3h,ma_3h,rolling_std_3h,lag_1_price_return,lag_2_price_return,lag_1_volume_return
1526364000,2018-05-15 06:00:00,BTC/USD,8733.86,8796.68,8707.28,8740.99,4906603.14,559.93,,,,1.0227674439622931,0.08163629826902652,6,1,,,,,,
1526367600,2018-05-15 07:00:00,BTC/USD,8740.99,8766.0,8721.11,8739.0,2390398.89,273.58,-0.022766299927123868,-51.14032111156752,,0.5136743334477561,-0.022766299927122462,7,1,,,,,,
1526371200,2018-05-15 08:00:00,BTC/USD,8739.0,8750.27,8660.53,8728.49,7986062.84,917.79,-0.12026547659915732,235.474084362892,,1.028127430976031,-0.12026547659915571,8,1,0.005337581779411282,8736.16,6.716524398823861,-0.022766299927123868,,-51.14032111156752
1526374800,2018-05-15 09:00:00,BTC/USD,8728.49,8754.4,8701.35,8708.32,1593991.98,182.62,-0.23108235215942852,-80.10220202878654,0.005789084087237096,0.6091875355981322,-0.2310823521594236,9,1,0.004515163167119424,8725.269999999999,15.591404683349557,-0.12026547659915732,-0.022766299927123868,235.474084362892
1526378400,2018-05-15 10:00:00,BTC/USD,8708.32,8865.0,8695.11,8795.9,11101273.74,1260.69,1.0057048891175313,590.3351221114883,0.007593925182637125,1.9314680703509526,1.0057048891175326,10,1,0.007888800460021848,8744.236666666666,45.86428058231511,-0.23108235215942852,-0.12026547659915732,-80.10220202878654
1526382000,2018-05-15 11:00:00,BTC/USD,8795.9,8821.19,8740.54,8760.0,2842987.3,324.11,-0.4081447037824426,-74.29106283067209,0.007956608347822098,0.9206621004566169,-0.40814470378244,11,1,0.0077200636443361115,8754.74,44.02629668732102,1.0057048891175313,-0.23108235215942852,590.3351221114883
1526385600,2018-05-15 12:00:00,BTC/USD,8760.0,8798.6,8741.52,8760.0,2842401.44,324.2,0.0,0.02776835025144475,0.007447086135839245,0.6515981735159809,0.0,12,1,0.007762120036383642,8771.966666666667,20.726874663907473,-0.4081447037824426,1.0057048891175313,-74.29106283067209
1526389200,2018-05-15 13:00:00,BTC/USD,8760.0,8771.02,8700.0,8759.23,6380081.87,730.67,-0.008789954337906636,125.37631091918567,0.007721358364578691,0.810801862720815,-0.008789954337904526,13,1,0.004814736730430353,8759.743333333332,0.44455970729436356,0.0,-0.4081447037824426,0.02776835025144475
1526392800,2018-05-15 14:00:00,BTC/USD,8759.23,8761.7,8467.42,8517.77,11484106.74,1341.75,-2.7566350010217677,83.63283014219827,0.009639631494484277,3.454894884459203,-2.7566350010217695,14,1,0.012384014541095287,8679.0,139.62980663167974,-0.008789954337906636,0.0,125.37631091918567
1526396400,2018-05-15 15:00:00,BTC/USD,8517.77,8553.67,8477.89,8520.3,6747071.92,792.07,0.029702609955406523,-40.96739332960685,0.009689317559003726,0.8894053026301968,0.029702609955408934,15,1,0.01256150777944865,8599.099999999999,138.68241741475694,-2.7566350010217677,-0.008789954337906636,83.63283014219827
